region,base_sku,branch,status,first_observed_month,last_observed_month,last_positive_month,months_since_last_positive,exclusion_reason
Chưa xác định,10.L1.3060.68013,222,Vô hiệu hóa,2025-01-01,2025-01-01,2025-01-01,17,permanently_inactive_outside_recent_window
TNB,10.L1.3060.68014,015,Vô hiệu hóa,2024-11-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.3060.68015,015,Vô hiệu hóa,2024-11-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.3060.68016,015,Vô hiệu hóa,2024-10-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.3060.68017,015,Vô hiệu hóa,2024-08-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,10.L1.3060.68018,008,Vô hiệu hóa,2024-07-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7801,019,Vô hiệu hóa,2024-02-01,2024-02-01,2024-02-01,28,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7801,024,Vô hiệu hóa,2025-02-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7801,050,Vô hiệu hóa,2024-01-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7801,059,Vô hiệu hóa,2024-01-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7801,063,Vô hiệu hóa,2024-02-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7801,069,Vô hiệu hóa,2024-02-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7801,070,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7801,081,Vô hiệu hóa,2024-12-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7805,050,Vô hiệu hóa,2024-02-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7805,059,Vô hiệu hóa,2024-01-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7805,063,Vô hiệu hóa,2024-03-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7805,065,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7806,050,Vô hiệu hóa,2024-03-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7806,059,Vô hiệu hóa,2024-04-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7807,064,Vô hiệu hóa,2025-03-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7807,065,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7807,072,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7807,076,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7807,081,Vô hiệu hóa,2024-07-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7807,222,Vô hiệu hóa,2024-03-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7808,069,Vô hiệu hóa,2024-02-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7808,081,Vô hiệu hóa,2024-07-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7808,222,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7809,081,Vô hiệu hóa,2024-07-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7809,222,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7811,050,Vô hiệu hóa,2024-08-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7811,061,Vô hiệu hóa,2024-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7811,069,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7811,081,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7812,050,Vô hiệu hóa,2024-08-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7812,061,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7812,069,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7812,081,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7813,050,Vô hiệu hóa,2024-08-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7813,061,Vô hiệu hóa,2024-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7813,064,Vô hiệu hóa,2024-03-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7813,069,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7813,081,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7817,014,Vô hiệu hóa,2024-05-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7817,015,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7817,049,Vô hiệu hóa,2024-01-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7817,072,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7817,078,Vô hiệu hóa,2024-01-01,2024-02-01,2024-02-01,28,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7817,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7818,014,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7818,072,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7818,078,Vô hiệu hóa,2024-01-01,2024-02-01,2024-02-01,28,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7818,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7819,008,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7819,014,Vô hiệu hóa,2024-05-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7819,072,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7819,078,Vô hiệu hóa,2024-01-01,2024-02-01,2024-02-01,28,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7819,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7821,001,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7821,008,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7821,011,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7821,013,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7821,014,Vô hiệu hóa,2024-03-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7821,015,Vô hiệu hóa,2024-01-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7821,018,Vô hiệu hóa,2024-01-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7821,022,Vô hiệu hóa,2025-02-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7821,024,Vô hiệu hóa,2024-03-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7821,072,Vô hiệu hóa,2024-11-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7821,078,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7821,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7822,008,Vô hiệu hóa,2024-05-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7822,011,Vô hiệu hóa,2024-02-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7822,013,Vô hiệu hóa,2024-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7822,014,Vô hiệu hóa,2024-07-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7822,015,Vô hiệu hóa,2024-04-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7822,017,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7822,018,Vô hiệu hóa,2024-06-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7822,022,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7822,024,Vô hiệu hóa,2024-03-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7822,072,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7822,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7823,001,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7823,008,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7823,011,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7823,013,Vô hiệu hóa,2024-03-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7823,014,Vô hiệu hóa,2024-03-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7823,015,Vô hiệu hóa,2024-01-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7823,018,Vô hiệu hóa,2024-01-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7823,022,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7823,024,Vô hiệu hóa,2024-04-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7823,072,Vô hiệu hóa,2024-11-01,2024-11-01,2024-11-01,19,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7823,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7824,059,Vô hiệu hóa,2024-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7824,063,Vô hiệu hóa,2024-04-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7824,069,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7824,072,Vô hiệu hóa,2025-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7825,072,Vô hiệu hóa,2025-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7826,059,Vô hiệu hóa,2024-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7826,063,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7826,072,Vô hiệu hóa,2025-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7827,063,Vô hiệu hóa,2024-01-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7827,072,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7827,078,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7827,099,Vô hiệu hóa,2024-05-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7827,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7828,063,Vô hiệu hóa,2024-01-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7828,072,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7828,099,Vô hiệu hóa,2024-05-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7828,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7829,072,Vô hiệu hóa,2025-04-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7829,078,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7829,222,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7831,008,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7831,016,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7831,017,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7831,018,Vô hiệu hóa,2024-02-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7831,049,Vô hiệu hóa,2024-01-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7832,011,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7832,015,Vô hiệu hóa,2024-05-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7833,008,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7837,000,Vô hiệu hóa,2024-04-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7837,002,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7837,008,Vô hiệu hóa,2024-01-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7837,013,Vô hiệu hóa,2024-01-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7837,014,Vô hiệu hóa,2024-03-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7837,023,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7837,049,Vô hiệu hóa,2024-05-01,2025-04-01,2025-04-01,14,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7837,060,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7837,067,Vô hiệu hóa,2024-03-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7837,069,Vô hiệu hóa,2024-01-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7837,071,Vô hiệu hóa,2024-01-01,2024-12-01,2024-12-01,18,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7837,072,Vô hiệu hóa,2024-05-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7837,076,Vô hiệu hóa,2024-01-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7837,081,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7838,002,Vô hiệu hóa,2025-05-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7838,008,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7838,067,Vô hiệu hóa,2024-03-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7839,002,Vô hiệu hóa,2024-06-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7839,013,Vô hiệu hóa,2024-06-01,2025-02-01,2025-02-01,16,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7839,067,Vô hiệu hóa,2024-03-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7839,071,Vô hiệu hóa,2024-03-01,2024-03-01,2024-03-01,27,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7842,060,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7842,069,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.3060.7843,000,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7843,050,Vô hiệu hóa,2024-03-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7843,060,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
TNB,10.L1.3060.7843,069,Vô hiệu hóa,2024-01-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,10.L1.3060.7843,071,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
DNB,10.L1.3060.7843,076,Vô hiệu hóa,2024-07-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
TNB,10.L1.4080.4811,011,Vô hiệu hóa,2024-10-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,10.L1.4080.4811,016,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4811,071,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
TNB,10.L1.4080.4812,011,Vô hiệu hóa,2024-10-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,10.L1.4080.4812,016,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4812,071,Vô hiệu hóa,2024-10-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,10.L1.4080.4813,011,Vô hiệu hóa,2024-10-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
TNB,10.L1.4080.4813,016,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4813,071,Vô hiệu hóa,2024-10-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.4080.4824,000,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4824,014,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4824,059,Vô hiệu hóa,2024-01-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4824,060,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4824,076,Vô hiệu hóa,2024-05-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4824,079,Vô hiệu hóa,2024-01-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4824,081,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4825,059,Vô hiệu hóa,2024-05-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4825,060,Vô hiệu hóa,2024-06-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.4080.4825,073,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4825,076,Vô hiệu hóa,2024-06-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4825,079,Vô hiệu hóa,2024-01-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4826,059,Vô hiệu hóa,2024-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4826,060,Vô hiệu hóa,2025-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
TNB,10.L1.4080.4826,073,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4826,076,Vô hiệu hóa,2024-09-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4826,079,Vô hiệu hóa,2024-04-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4826,081,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.4080.4827,000,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4827,001,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4827,022,Vô hiệu hóa,2024-01-01,2024-01-01,2024-01-01,29,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4827,059,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4827,060,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4827,061,Vô hiệu hóa,2024-01-01,2024-10-01,2024-10-01,20,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4827,071,Vô hiệu hóa,2024-01-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4827,072,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4827,076,Vô hiệu hóa,2024-02-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4827,079,Vô hiệu hóa,2024-01-01,2024-08-01,2024-08-01,22,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4827,081,Vô hiệu hóa,2024-03-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.4080.4827,222,Vô hiệu hóa,2024-04-01,2024-07-01,2024-07-01,23,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.4080.4828,000,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4828,001,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4828,059,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4828,060,Vô hiệu hóa,2025-03-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4828,061,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4828,071,Vô hiệu hóa,2024-01-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4828,076,Vô hiệu hóa,2024-02-01,2024-09-01,2024-09-01,21,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4828,079,Vô hiệu hóa,2024-03-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4828,081,Vô hiệu hóa,2024-03-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
Chưa xác định,10.L1.4080.4829,000,Vô hiệu hóa,2024-04-01,2024-05-01,2024-05-01,25,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4829,001,Vô hiệu hóa,2024-06-01,2024-06-01,2024-06-01,24,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4829,059,Vô hiệu hóa,2024-04-01,2025-03-01,2025-03-01,15,permanently_inactive_outside_recent_window
DNB,10.L1.4080.4829,060,Vô hiệu hóa,2024-04-01,2024-04-01,2024-04-01,26,permanently_inactive_outside_recent_window
MT-TNG,10.L1.4080.4829,071,Vô hiệu hóa,2024-01-01,2025-05-01,2025-05-01,13,permanently_inactive_outside_recent_window
